iso,continent,region,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
OWID_AFR,Africa,Africa,2022-05-01,11677974.0,5175.0,5481.714,252881.0,0.0,13.0,8502.431,3.768,3.991,184.116,0.0,0.009
OWID_AFR,Africa,Africa,2022-05-02,11682837.0,4863.0,5683.143,252890.0,10.0,9.714,8505.972,3.541,4.138,184.123,0.007,0.007
OWID_AFR,Africa,Africa,2022-05-03,11687065.0,4228.0,5364.0,252897.0,7.0,5.571,8509.05,3.078,3.905,184.128,0.005,0.004
OWID_AFR,Africa,Africa,2022-05-04,11695715.0,8650.0,5638.0,252981.0,84.0,16.857,8515.348,6.298,4.105,184.189,0.061,0.012
OWID_AFR,Africa,Africa,2022-05-05,11706055.0,10340.0,6400.143,253047.0,66.0,25.143,8522.876,7.528,4.66,184.237,0.048,0.018
OWID_AFR,Africa,Africa,2022-05-06,11715837.0,9782.0,6991.0,253086.0,39.0,29.857,8529.998,7.122,5.09,184.265,0.028,0.022
OWID_AFR,Africa,Africa,2022-05-07,11724976.0,9139.0,7453.857,253104.0,18.0,32.0,8536.652,6.654,5.427,184.278,0.013,0.023
OWID_AFR,Africa,Africa,2022-05-08,11730852.0,5876.0,7554.0,253117.0,13.0,33.857,8540.93,4.278,5.5,184.288,0.009,0.025
OWID_AFR,Africa,Africa,2022-05-09,11734940.0,4088.0,7443.286,253163.0,46.0,39.0,8543.907,2.976,5.419,184.321,0.033,0.028
OWID_AFR,Africa,Africa,2022-05-10,11745573.0,10633.0,8358.286,253242.0,79.0,49.286,8551.648,7.742,6.085,184.379,0.058,0.036
OWID_AFR,Africa,Africa,2022-05-11,11756622.0,11049.0,8701.0,253293.0,51.0,44.571,8559.693,8.044,6.335,184.416,0.037,0.032
OWID_AFR,Africa,Africa,2022-05-12,11767388.0,10766.0,8761.857,253315.0,22.0,38.286,8567.531,7.838,6.379,184.432,0.016,0.028
OWID_AFR,Africa,Africa,2022-05-13,11776465.0,9077.0,8661.143,253431.0,116.0,49.286,8574.14,6.609,6.306,184.517,0.084,0.036
OWID_AFR,Africa,Africa,2022-05-14,11785527.0,9062.0,8650.143,253440.0,9.0,48.0,8580.738,6.598,6.298,184.523,0.007,0.035
OWID_AFR,Africa,Africa,2022-05-15,11790124.0,4597.0,8467.429,253443.0,3.0,46.571,8584.085,3.347,6.165,184.525,0.002,0.034
OWID_AFR,Africa,Africa,2022-05-16,11794638.0,4514.0,8528.286,253488.0,45.0,46.429,8587.371,3.287,6.209,184.558,0.033,0.034
